epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,42273.3,0.26361,1.19903,0.80264,0.51801,0.91764,0.58905,0.5851,0.19674,0.98252,0.77473,1.133e-05,1.133e-05,1.133e-05
77,42781.2,0.26336,1.20456,0.8018,0.51917,0.91888,0.59159,0.58794,0.19324,0.97943,0.77437,1.08944e-05,1.08944e-05,1.08944e-05
78,43289,0.26533,1.20589,0.80223,0.52358,0.90934,0.59477,0.59093,0.19381,0.97606,0.77433,1.04588e-05,1.04588e-05,1.04588e-05
79,43795.8,0.26251,1.20026,0.80114,0.5244,0.8991,0.59751,0.59352,0.19603,0.97507,0.77472,1.00232e-05,1.00232e-05,1.00232e-05
80,44303.2,0.26176,1.19681,0.80188,0.52401,0.89872,0.59929,0.59547,0.19459,0.9737,0.77434,9.5876e-06,9.5876e-06,9.5876e-06
81,44810.2,0.26187,1.19688,0.80248,0.52624,0.89956,0.60127,0.5975,0.1922,0.96955,0.77394,9.152e-06,9.152e-06,9.152e-06
82,45317.1,0.25914,1.18844,0.80221,0.52988,0.89347,0.60548,0.60159,0.19416,0.96904,0.77439,8.7164e-06,8.7164e-06,8.7164e-06
83,45824.9,0.2614,1.19062,0.80133,0.53133,0.89353,0.60596,0.60241,0.19071,0.96655,0.77389,8.2808e-06,8.2808e-06,8.2808e-06
84,46331.8,0.26174,1.19269,0.80144,0.53196,0.8888,0.60899,0.60524,0.19439,0.96419,0.7743,7.8452e-06,7.8452e-06,7.8452e-06
85,46839.6,0.26257,1.19182,0.80089,0.53585,0.88658,0.61106,0.60735,0.19135,0.96333,0.77395,7.4096e-06,7.4096e-06,7.4096e-06
86,47347.6,0.26088,1.18339,0.80137,0.53502,0.89032,0.61227,0.60854,0.19078,0.9628,0.77384,6.974e-06,6.974e-06,6.974e-06
87,47855.5,0.26055,1.18773,0.8015,0.53765,0.88744,0.61531,0.61158,0.19143,0.96002,0.77404,6.5384e-06,6.5384e-06,6.5384e-06
88,48362.8,0.2601,1.18367,0.80155,0.53847,0.88523,0.61768,0.61401,0.19075,0.95635,0.77377,6.1028e-06,6.1028e-06,6.1028e-06
89,48869.5,0.25972,1.18275,0.8021,0.54038,0.87963,0.61952,0.6157,0.19261,0.95597,0.77408,5.6672e-06,5.6672e-06,5.6672e-06
90,49376,0.26021,1.18351,0.80102,0.54174,0.8814,0.621,0.61738,0.18877,0.95477,0.77354,5.2316e-06,5.2316e-06,5.2316e-06
91,49864.4,0.2612,1.15205,0.80205,0.52623,0.88911,0.60634,0.6012,0.2115,1.00371,0.77621,4.796e-06,4.796e-06,4.796e-06
92,50353.5,0.24611,1.10249,0.79794,0.53182,0.88934,0.6122,0.60761,0.20553,0.99343,0.77543,4.3604e-06,4.3604e-06,4.3604e-06
93,50842.9,0.24355,1.09538,0.79723,0.53608,0.8867,0.61566,0.61107,0.20272,0.98522,0.775,3.9248e-06,3.9248e-06,3.9248e-06
94,51330.9,0.23941,1.08592,0.79542,0.53889,0.88291,0.61884,0.61435,0.20131,0.97926,0.77482,3.4892e-06,3.4892e-06,3.4892e-06
95,51820.8,0.23966,1.08612,0.79745,0.53999,0.88523,0.62049,0.61602,0.20158,0.97689,0.77484,3.0536e-06,3.0536e-06,3.0536e-06
96,52309.8,0.23644,1.07625,0.79587,0.5433,0.87939,0.62368,0.61923,0.20033,0.97304,0.77476,2.618e-06,2.618e-06,2.618e-06
97,52796.9,0.23459,1.07141,0.7961,0.54423,0.87881,0.62611,0.62181,0.19923,0.96882,0.77457,2.1824e-06,2.1824e-06,2.1824e-06
98,53285.4,0.23384,1.07227,0.79549,0.54665,0.87428,0.62788,0.62353,0.19858,0.96704,0.77446,1.7468e-06,1.7468e-06,1.7468e-06
99,53773.6,0.23167,1.066,0.79469,0.54852,0.8717,0.62894,0.62476,0.19764,0.96553,0.77427,1.3112e-06,1.3112e-06,1.3112e-06
100,54261.2,0.23547,1.07604,0.7968,0.54736,0.87603,0.6292,0.62499,0.19835,0.96588,0.77432,8.756e-07,8.756e-07,8.756e-07
